default,40,5,0,50,4,0,150,2,0,250,1.5,0
Амурская обл,0,3,0,30,3,1000,150,0,0,150,0,0
Камчатский край,0,1,0,10,0,0,10,0,0,10,0.5,20000
Кировская обл,0,1,0,10,1,1000,50,0,0,50,0,0
Омская обл,0,2,0,30,2,1000,110,0,0,110,0,0
Сахалинская обл,3,3,0,33,0,0,100,0,0,100,0,0
Тюменская обл,0,2,0,20,2,1000,100,2,5000,400,2,20000
Хабаровский край,0,3,0,30,1,1000,70,0,0,70,0,0
Ханты-Мансийский Автономный округ - Югра АО,0,4,0,40,5,1000,240,4,5000,840,1.5,20000
Чукотский АО,0,2,0,20,2,1000,100,2,5000,400,0,0
Ямало-Ненецкий АО,0,2,0,20,3,1000,140,2,5000,440,0,0
Приморский край,2,2,0,22,1,1000,62,0,0,62,0,0
Ненецкий АО,0,3,0,30,2,1000,110,1,5000,260,1,20000
Карелия Респ,0,2,0,20,2,1000,100,1,5000,250,0,0
